objectid,title,campus,creator,description,subject,people,location,date,transcription,item_information,source,citation,collection,publisher,scanning_info,date_digital,type,format,rights,identifier,language,date_update1,date_update2,reference_url,cdmid,contentdm-file-name,contentdm_file_path
p16264coll60,Administration Building Under Construction,Tehuacana,"Trinity University (San Antonio, Tex.)",The first Administration Building on Trinity University's Tehuacana campus when under construction. The Reverend Alpha Young can be seen in the doorway holding a T-square tool.,Universities & colleges; Construction; Construction workers; Clergy; Buildings; Building construction,"Young, Alpha",Tehuacana (Tex.),1871,"[from back] Constructed of stones from nearby quarries, this building formed what proved to be the first unit of expanding permanent facilities. It was known as the finest building of its kind in Texas at the time. It was started in 1871, completed 1873. It is still in use by Westminster College and Bible Institute. Picture from family of the Rev. Alpha Young a founder of Trinity. [caption circa 1968]",Photographic prints; Albumen prints,Tehuacana Photoprints Collection,"[Image Number], Trinity University History, Elizabeth Huth Coates Library Special Collections &amp; Archives, Trinity University, San Antonio, Texas.",University Archives,"Elizabeth Huth Coates Library Special Collections, Trinity University",Scanned as a 600 dpi TIFF image in 24-bit RGB color. Compressed into JPEG format.,6/1/2017,Image,image/jpeg,"This item may be protected by copyright law (Title 17, U.S. Code). It may only be used for noncommercial educational and scholarly purposes. Please contact Special Collections and University Archives at archives@trinity.edu to inquire about permission to use a specific digital resource.",tehu_001,eng,6/7/2017,6/30/2017,http://cdm16264.contentdm.oclc.org/cdm/ref/collection/p16264coll6/id/0,0,1.jpg,/p16264coll6/image/1.jpg
p16264coll61,Early Trinity University Community in front of Administration Building,Tehuacana,"Trinity University (San Antonio, Tex.)","Men, women, and children gather in front of the first Administration Building on Trinity's Tehuacana campus around 1873.",Universities & colleges; Buildings,,Tehuacana (Tex.),1873,,Photographic prints; Albumen prints,Tehuacana Photoprints Collection,"[Image Number], Trinity University History, Elizabeth Huth Coates Library Special Collections & Archives, Trinity University, San Antonio, Texas.",University Archives,"Elizabeth Huth Coates Library Special Collections, Trinity University",Scanned as a 600 dpi TIFF image in 24-bit RGB color. Compressed into JPEG format.,6/1/2017,Image,image/jpeg,"This item may be protected by copyright law (Title 17, U.S. Code). It may only be used for noncommercial educational and scholarly purposes. Please contact Special Collections and University Archives at archives@trinity.edu to inquire about permission to use a specific digital resource.",tehu_002,eng,6/30/2017,6/30/2017,http://cdm16264.contentdm.oclc.org/cdm/ref/collection/p16264coll6/id/1,1,2.jpg,/p16264coll6/image/2.jpg
p16264coll62,"Administration Building, Front View",Tehuacana,"Trinity University (San Antonio, Tex.)","A small-format photograph of the Administration Building on Trinity's Tehuacana campus. The photograph was taken using a Pocket Kodak camera, one of the earliest hobby cameras on the market.",Universities & colleges; buildings,,Tehuacana (Tex.),1897,"[back] Trinity University. Front View. Tehuacana, Texas. 1897.",Photographic prints; Collodion printing-out paper prints;,Tehuacana Photoprints Collection,"[Image Number], Trinity University History, Elizabeth Huth Coates Library Special Collections & Archives, Trinity University, San Antonio, Texas.",University Archives,"Elizabeth Huth Coates Library Special Collections, Trinity University",Scanned as a 600 dpi TIFF image in 24-bit RGB color. Compressed into JPEG format.,6/1/2017,Image,image/jpeg,"This item may be protected by copyright law (Title 17, U.S. Code). It may only be used for noncommercial educational and scholarly purposes. Please contact Special Collections and University Archives at archives@trinity.edu to inquire about permission to use a specific digital resource.",tehu_003,eng,6/30/2017,6/30/2017,http://cdm16264.contentdm.oclc.org/cdm/ref/collection/p16264coll6/id/2,2,3.jpg,/p16264coll6/image/3.jpg
p16264coll63,"Administration Building, Tehuacana",Tehuacana,"Trinity University (San Antonio, Tex.)","Front view of the Administration Building of Trinity's Tehuacana campus. Four men, possibly students, can be seen standing on the second floor balcony.",Universities & colleges; buildings,,Tehuacana (Tex.),1900?,,Photographic prints; Gelatin silver prints,Tehuacana Photoprints Collection,"[Image Number], Trinity University History, Elizabeth Huth Coates Library Special Collections & Archives, Trinity University, San Antonio, Texas.",University Archives,"Elizabeth Huth Coates Library Special Collections, Trinity University",Scanned as a 600 dpi TIFF image in 24-bit RGB color. Compressed into JPEG format.,6/1/2017,Image,image/jpeg,"This item may be protected by copyright law (Title 17, U.S. Code). It may only be used for noncommercial educational and scholarly purposes. Please contact Special Collections and University Archives at archives@trinity.edu to inquire about permission to use a specific digital resource.",tehu_,eng,6/30/2017,6/30/2017,http://cdm16264.contentdm.oclc.org/cdm/ref/collection/p16264coll6/id/3,3,4.jpg,/p16264coll6/image/4.jpg
p16264coll64,Administration Building (Artistic Rendering),Tehuacana,"Trinity University (San Antonio, Tex.)","Artistic rendering of the Administration Building, designed by architect J.E. Flanders, on Trinity University's Tehuacana campus. The drawing was developed as an albumen photographic print.",Universities & colleges; Buildings,,Tehuacana (Tex.),1900?,"[front] Trinity University. J. E. Flanders, Archt.",Photographic prints; albumen prints,Tehuacana Photoprints Collection,"[Image Number], Trinity University History, Elizabeth Huth Coates Library Special Collections & Archives, Trinity University, San Antonio, Texas.",University Archives,"Elizabeth Huth Coates Library Special Collections, Trinity University",Scanned as a 600 dpi TIFF image in 24-bit RGB color. Compressed into JPEG format.,6/1/2017,Image,image/jpeg,"This item may be protected by copyright law (Title 17, U.S. Code). It may only be used for noncommercial educational and scholarly purposes. Please contact Special Collections and University Archives at archives@trinity.edu to inquire about permission to use a specific digital resource.",tehu_005,eng,6/30/2017,6/30/2017,http://cdm16264.contentdm.oclc.org/cdm/ref/collection/p16264coll6/id/4,4,5.jpg,/p16264coll6/image/5.jpg
p16264coll65,Students in front of Administration Building,Tehuacana,"Trinity University (San Antonio, Tex.)",Photograph of Trinity University student body in front of the Administration Building on the Tehuacana campus. This print is a reproduction printed on modern photographic paper.,Universities & colleges; Buildings; Students,,Tehuacana (Tex.),1900?,,Photographic prints,Tehuacana Photoprints Collection,"[Image Number], Trinity University History, Elizabeth Huth Coates Library Special Collections & Archives, Trinity University, San Antonio, Texas.",University Archives,"Elizabeth Huth Coates Library Special Collections, Trinity University",Scanned as a 600 dpi TIFF image in 24-bit RGB color. Compressed into JPEG format.,6/1/2017,Image,image/jpeg,"This item may be protected by copyright law (Title 17, U.S. Code). It may only be used for noncommercial educational and scholarly purposes. Please contact Special Collections and University Archives at archives@trinity.edu to inquire about permission to use a specific digital resource.",tehu_006,eng,6/30/2017,6/30/2017,http://cdm16264.contentdm.oclc.org/cdm/ref/collection/p16264coll6/id/5,5,6.jpg,/p16264coll6/image/6.jpg
p16264coll66,Boyd House,Tehuacana,"Trinity University (San Antonio, Tex.)","Photograph of Boyd House, the first building on Trinity's Tehuacana campus. The building was donated to the school by Major John Boyd in 1869.",Universities & colleges; Buildings,,Tehuacana (Tex.),1869,[back] First Building Trinity University. Donated by Mayor John Boyd in 1869.,Photographic prints; albumen prints,Tehuacana Photoprints Collection,"[Image Number], Trinity University History, Elizabeth Huth Coates Library Special Collections & Archives, Trinity University, San Antonio, Texas.",University Archives,"Elizabeth Huth Coates Library Special Collections, Trinity University",Scanned as a 600 dpi TIFF image in 24-bit RGB color. Compressed into JPEG format.,6/1/2017,Image,image/jpeg,"This item may be protected by copyright law (Title 17, U.S. Code). It may only be used for noncommercial educational and scholarly purposes. Please contact Special Collections and University Archives at archives@trinity.edu to inquire about permission to use a specific digital resource.",tehu_009,eng,6/30/2017,6/30/2017,http://cdm16264.contentdm.oclc.org/cdm/ref/collection/p16264coll6/id/6,6,7.jpg,/p16264coll6/image/7.jpg
p16264coll67,Patterson House,Tehuacana,"Trinity University (San Antonio, Tex.)","Cabinet card depicting students in front of Patterson House, the first men's dormitory at Trinity University's Tehuacana campus. The individuals in the photograph have been identified in red pen on the recto side of the photograph.",Universities & colleges; Buildings; Dormitories; Students,,Tehuacana (Tex.),1882,"[back] Grandma Patterson's (Mrs. J.H.) home in Tehuacana. Her daughter was Mrs. Ida Patterson Herring, Class 1881. Grace Herring Haynes was daughter of Mrs. Herring, Class 191?. First Men's Boarding House, Trinity U.",Photographic prints; albumen prints,Tehuacana Photoprints Collection,"[Image Number], Trinity University History, Elizabeth Huth Coates Library Special Collections & Archives, Trinity University, San Antonio, Texas.",University Archives,"Elizabeth Huth Coates Library Special Collections, Trinity University",Scanned as a 600 dpi TIFF image in 24-bit RGB color. Compressed into JPEG format.,6/1/2017,Image,image/jpeg,"This item may be protected by copyright law (Title 17, U.S. Code). It may only be used for noncommercial educational and scholarly purposes. Please contact Special Collections and University Archives at archives@trinity.edu to inquire about permission to use a specific digital resource.",tehu_014,eng,6/30/2017,6/30/2017,http://cdm16264.contentdm.oclc.org/cdm/ref/collection/p16264coll6/id/7,7,8.jpg,/p16264coll6/image/8.jpg
p16264coll68,Boyd House,Tehuacana,"Trinity University (San Antonio, Tex.)","Photograph of Boyd House, the first building on Trinity University's Tehuacana campus. Photograph donated to University Archives by Mary Young Sledge, a granddaughter of Major Boyd.",Universities & colleges; Buildings,,Tehuacana (Tex.),1870?,"[back] (Very old)It may be Selado. From files of Mary Young Sledge, Austin, Texas, a grand daughter.",Photographic prints; albumen prints,Tehuacana Photoprints Collection,"[Image Number], Trinity University History, Elizabeth Huth Coates Library Special Collections & Archives, Trinity University, San Antonio, Texas.",University Archives,"Elizabeth Huth Coates Library Special Collections, Trinity University",Scanned as a 600 dpi TIFF image in 24-bit RGB color. Compressed into JPEG format.,6/1/2017,Image,image/jpeg,"This item may be protected by copyright law (Title 17, U.S. Code). It may only be used for noncommercial educational and scholarly purposes. Please contact Special Collections and University Archives at archives@trinity.edu to inquire about permission to use a specific digital resource.",tehu_010,eng,6/30/2017,6/30/2017,http://cdm16264.contentdm.oclc.org/cdm/ref/collection/p16264coll6/id/8,8,9.jpg,/p16264coll6/image/9.jpg
p16264coll69,"Boyd House, hand-colored",Tehuacana,"Trinity University (San Antonio, Tex.)","A hand-colored photograph of people gathered in front of Boyd House, the first building on Trinity University's Tehuacana campus.",Universities & colleges; Buildings,,Tehuacana (Tex.),1871?,"[back] Trinity University. Tehuacana Texas, C.P. School. 1902-3. Where M. S. O'Barr (""Mettie"") went to school.",Photographic prints; Albumen prints,Tehuacana Photoprints Collection,"[Image Number], Trinity University History, Elizabeth Huth Coates Library Special Collections & Archives, Trinity University, San Antonio, Texas.",University Archives,"Elizabeth Huth Coates Library Special Collections, Trinity University",Scanned as a 600 dpi TIFF image in 24-bit RGB color. Compressed into JPEG format.,6/1/2017,Image,image/jpeg,"This item may be protected by copyright law (Title 17, U.S. Code). It may only be used for noncommercial educational and scholarly purposes. Please contact Special Collections and University Archives at archives@trinity.edu to inquire about permission to use a specific digital resource.",tehu_011,eng,6/30/2017,6/30/2017,http://cdm16264.contentdm.oclc.org/cdm/ref/collection/p16264coll6/id/9,9,10.jpg,/p16264coll6/image/10.jpg
